pathway	SRS011271	SRS013216	SRS013234	SRS013252	SRS013261	SRS011405	SRS011452	SRS013502	SRS013506	SRS017304	SRS011529	SRS013638	SRS013687	SRS013705	SRS013711	SRS013723	SRS013825	SRS014271	SRS014287	SRS014235	SRS014343	SRS014613	SRS014629	SRS014923	SRS015133	SRS015174	SRS015190	SRS015395	SRS015425	SRS015450	SRS015470	SRS015574	SRS015578	SRS015663	SRS015762	SRS015782	SRS015854	SRS015921	SRS015960	SRS016002	SRS016018	SRS016056	SRS016095	SRS016111	SRS044902	SRS016203	SRS016225	SRS016267	SRS016319	SRS016331	SRS016335	SRS016437	SRS016517	SRS016529	SRS016533	SRS016541	SRS016553	SRS016559	SRS016600	SRS016753	SRS011584	SRS011586	SRS016990	SRS016954	SRS017076	SRS017080	SRS017088	SRS017103	SRS017127	SRS017139	SRS017191	SRS017209	SRS017215	SRS017227	SRS017307	SRS017497	SRS017521	SRS017533	SRS017537	SRS017701	SRS017713	SRS017788	SRS017821	SRS017849	SRS017851	SRS018133	SRS018145	SRS018149	SRS018157	SRS018313	SRS018394	SRS018427	SRS018439	SRS018443	SRS018501	SRS018513	SRS018585	SRS018591	SRS018739	SRS018769	SRS018791	SRS018817	SRS019081	SRS019087	SRS019245	SRS019267	SRS019582	SRS019685	SRS019787	SRS019894	SRS019906	SRS019910	SRS049959	SRS049389	SRS047219	SRS050422	SRS042643	SRS053335	SRS020233	SRS020261	SRS020263	SRS020386	SRS020869	SRS021484	SRS021496	SRS021986	SRS022006	SRS022093	SRS022129	SRS022609	SRS022621	SRS022625	SRS022645	SRS023176	SRS023212	SRS023557	SRS023617	SRS023914	SRS023926	SRS023930	SRS023938	SRS024265	SRS024277	SRS024281	SRS024289	SRS024301	SRS024310	SRS024331	SRS024347	SRS024355	SRS024388	SRS024424	SRS024470	SRS024482	SRS024580	SRS024596	SRS024598	SRS024625	SRS024637	SRS024649	SRS058182	SRS058770	SRS057692	SRS047634	SRS045197	SRS051600	SRS044742	SRS043411	SRS051031	SRS049164	SRS048870	SRS052697	SRS054590	SRS043701	SRS043422	SRS047113	SRS062427	SRS062544	SRS063287	SRS064493	SRS064276	SRS063417	SRS065179	SRS062540	SRS065310	SRS064557	SRS065278	SRS064809	SRS063603	SRS065347	SRS063985
ko00010	2207.81	1285.4698	758.8875	1490.5375	1930.55	2897.2475	3091.5677	2444.9875	975.1188	2943.036	2159.5075	1172.5855	1088.4532	1364.3278	1085.8497	1489.9052	1912.3	4930.3688	6230.1625	1820.342	1535.625	1787.3873	2163.575	1989.6678	2263.7073	2211.6742	2504.2695	1599.595	2822.925	8510.0505	11759.1237	1680.277	1815.25	2617.1945	2327.4938	2394.7615	3032.825	10363.3525	1504.5112	2407.2867	1851.9287	1276.02	1842.9097	1765.75	2700.5	1932.3948	1638.1625	1564.3037	2058.05	2283.4175	2109.132	1203.9	1077.249	2455.5062	1797.325	1755.5125	2008.2623	2659.7	1153.9875	1482.89	3215.7812	3861.0042	1256.725	1500.5448	905.7013	1369.1937	1409.6125	1678.09	2238.63	2072.7725	1557.2777	1445.7465	904.575	1168.769	658.4988	1329.8	2403.6745	3116.5338	1883.5125	1611.4875	1064.1075	1343.0938	1825.0862	1903.19	1755.625	1385.8547	1009.418	1330.225	1501.5562	1450.6125	1337.5688	1650.4875	1759.3785	1747.4815	1242.3555	1133.7625	1973.725	1924.4062	2186.999	2005.1	1304.575	1566.9455	9441.7648	7242.6925	1829.7	2157.9	4905.807	2500.0715	1343.7085	1480.55	2059.06	2377.48	1509.2888	1977.357	5414.7285	6547.415	10238.8135	3361.4928	1725.7563	3719.105	4537.72	1573.8385	1253.1125	1106.288	1233.3438	1826.7175	2471.2262	1280.3698	2272.6847	2906.3043	2492.2785	2829.0375	1126.6545	2547.835	1339.69	1296.9312	2808.3312	1008.854	1459.9125	1084.28	1477.8338	2343.966	2531.6188	2681.6562	3312.4137	1884.931	3166.8	1791.8987	1979.346	1889.054	1556.475	2721.4375	1847.4815	2209.7	1037.7875	1700.45	1770.95	1308.7525	1096.7125	1115.82	1719.7438	1496.6073	1196.5305	1257.7897	7762.9985	1488.8875	2069.493	2019.735	2023.4537	3228.814	1457.3275	4082.2553	3282.8872	1349.1475	1252.0875	1209.96	4047.7077	2169.8062	2514.7125	2265.0725	3035.3005	1761.7438	1072.475	2020.0438	1794.2887	2189.5213	1722.4312	1675.86	1960.1085	2654.475	2133.7995
ko00020	2238.0037	1802.5119	585.5185	1256.963	2066.1481	3667.2437	4003.5311	1974.3148	760.8704	2587.197	2440.4519	1223.1837	1091.8785	1044.4715	741.0581	1376.0511	993.1204	3880.2037	5644.0963	1853.2289	226.2222	2064.2348	358.1481	1433.63	1905.1881	1876.1304	3199.153	1179.4037	1435.0741	9765.6607	12802.3059	1584.7241	2005.9889	2537.7915	2183.287	2478.5207	3314.9444	8328.2941	1906.1352	2503.6396	2347.5419	1762.4141	2408.0933	365.7407	880.5185	2141.0674	1798.8148	1929.153	1506.1852	2264.5607	2846.2519	1574.5926	891.4856	1806.1481	952.9259	1465.4444	2031.7744	1314.4444	559.4259	2012.7111	464.3426	4239.5956	1562.8519	1756.4504	729.8815	1107.6167	1150.7778	2071.5907	1484.4148	2053.163	1804.033	1325.9715	638.963	1273.1696	667.3352	817.2222	2505.3626	2156.8037	672.8519	1955.4259	1125.863	1236.6667	2194.5767	2028.5852	1926.6667	1875.6619	828.4637	805.8519	1495.037	1696.537	1384.8889	1642.7407	1833.0926	789.1844	1164.8896	1200.4815	1959.1111	1734.8241	1882.9541	995.1111	1317.2593	1826.4007	11546.73	8069.4637	306.5926	2720.8889	4890.0104	2909.0663	1600.2048	1367.5463	2145.6148	2846.7296	1586.5352	1764.1289	4096.0396	5907.3463	7269.2967	3610.1978	1709.3889	3936.7852	4744.4481	1601.4078	1291.5363	1394.533	1049.4259	641.5074	2642.4078	1328.6478	2319.5563	2932.2841	2086.1674	1422.8704	1426.9996	3361.237	1551.8	1153.5185	2312.1574	787.7059	1141.8148	921.5259	1553.5704	2616.1274	2205.7778	949.9815	3046.7667	1957.8796	1563.8519	2205.8481	1113.9807	1947.9337	2030.5481	3145.4259	1049.1289	2256.1852	780.6574	1834.5185	1904.6296	1613.9519	944.0556	1079.1741	1788.2037	1878.0859	992.7415	1126.6933	7815.0026	1722.7407	810.5559	2300.4815	2151.7704	3267.49	1604.9304	4192.7726	4117.333	1634.2981	1166.6481	1274.1567	5001.2752	2025.1944	1766.5556	2069.3185	3091.0307	386.5093	1191.3704	1627.0741	1414.2556	2787.4519	1606.9074	1090.163	2072.9433	1278.4444	2030.687
ko00030	3447.1	1877.57	969.6023	1880.5909	2459.3182	4435.5741	4588.1232	3208.0	1229.1023	3515.1932	3239.95	1946.9277	1578.3005	1972.8318	1470.1136	1854.6559	2259.4432	6421.0455	9618.9227	2963.3705	2488.6818	2672.6855	3525.3182	3273.6309	3351.7705	2915.7932	3890.6259	1881.6773	3000.9545	10919.7523	14302.7895	2152.4182	2995.2773	3958.5714	3224.75	3518.6641	4707.3636	12313.4036	2183.9159	3272.4977	2649.8018	1991.4632	2670.6818	2832.1818	4134.2727	2965.1418	2294.7955	2306.6805	2947.3409	2853.5718	3110.6068	1862.4545	1572.695	3315.6591	2067.4091	1979.5	2487.4645	2821.2727	1401.0909	2399.3273	5291.1818	5780.0768	2011.9318	2333.1418	1253.625	1655.0364	1750.3864	2582.2973	2627.4727	2624.7727	2555.3832	2016.9227	1181.8182	1491.9227	1064.3341	1784.6364	3535.3341	3970.0909	2186.7273	2374.4318	1386.0682	1791.7159	2835.1695	2398.8545	2251.5909	2178.2732	1403.1568	1730.0455	1869.1818	2124.5682	1677.4091	2768.2955	2471.9427	2060.3009	1697.5168	1516.2273	2545.5455	2638.8295	3163.6195	2130.6364	1869.5682	2385.1977	9392.6686	9202.7386	2955.8182	3386.5455	8414.7823	3732.855	1933.8282	2085.3977	2419.1909	3777.0818	2330.2568	2860.8091	7848.6032	10145.5218	15657.5614	5154.3786	2703.7577	4798.7091	5872.5909	2051.2291	2010.0341	1629.3518	1775.4773	2094.5341	3737.0927	1928.21	3033.7441	5022.14	3573.6	3469.4205	1217.1041	4291.2091	1689.8182	1733.8977	4082.2045	1588.0559	2080.9091	1440.1364	1907.4432	3499.0091	3549.2841	3103.8864	4331.1023	2705.2027	3358.7273	2848.1773	2357.3691	2387.1468	2237.2455	3211.0455	2295.3236	2819.7273	1441.8068	2170.3182	2245.7273	2091.5127	1390.8864	1425.9273	2156.5568	2264.945	1645.6455	1641.6691	10084.5045	1979.9773	2644.0018	3025.3636	3081.7259	5103.4427	2115.9673	6518.7468	5047.2405	2212.9418	1717.4886	1523.5718	6078.0795	3040.3864	2769.25	2604.4682	4567.1777	2806.1818	1322.7273	2535.2955	2241.8136	3411.0618	2563.75	2135.5818	2688.1691	2869.0455	3133.3282
ko00040	1963.2808	1611.3331	218.2788	380.5	1037.3077	3379.2042	3556.7438	726.5385	283.4327	865.2569	1885.9077	1021.525	895.0808	568.2912	381.6204	387.4969	502.8173	1784.7885	4794.6346	1732.9915	336.5	1710.2054	0.0	1177.4362	1560.2704	765.1415	2784.6077	436.4731	372.5385	3823.1685	3833.9419	452.8038	1984.5577	2064.9873	923.3846	1780.4469	3013.8269	2834.8935	1419.7308	836.7665	1649.6931	1436.0777	1591.9627	403.5385	766.8462	1879.1792	520.5962	1604.4623	890.0962	712.7738	1662.0492	1538.7692	680.1662	750.2404	452.9615	522.5385	1047.0919	341.6923	268.6442	1834.8077	718.3654	3201.9096	1517.2308	1620.1792	285.2519	462.0865	410.0385	1756.2315	630.6615	468.3615	1809.6677	581.2335	275.7308	369.0854	645.7846	430.4231	2156.7438	979.5173	433.3846	1711.3462	287.2327	424.1346	2039.3454	1003.8731	938.25	1709.7569	358.6992	383.1538	415.5577	1536.1731	308.4808	1564.5	560.2662	405.3265	373.6608	361.4038	718.6154	750.4327	951.9746	261.4231	429.375	1561.8738	3787.5219	3196.0204	413.2308	2620.1923	4316.6592	2171.3031	1218.4227	490.4712	523.1885	2456.1385	908.0423	726.7238	2250.0054	5250.5838	5121.9631	3143.7735	1391.0008	1980.1885	2367.55	683.2696	1087.0835	1041.9492	465.5288	389.5654	801.2312	994.0446	1019.7569	3043.8885	936.5069	738.6058	443.2927	3582.6154	711.7923	402.7981	993.875	740.4323	556.6346	337.9692	397.8692	2198.64	821.8558	592.5769	1030.5692	720.3485	0.0	2008.1538	519.5765	441.6554	1707.3846	1208.8846	512.1342	1098.7692	361.5096	904.4615	945.5385	1531.4223	313.2596	320.4538	878.1538	1591.4869	403.8723	417.7069	2357.8338	520.7692	348.9619	1832.4615	1823.4623	2867.4738	1253.7877	3498.0138	3865.7562	1441.6931	434.9423	347.3392	4422.0012	828.2596	680.7308	627.5346	2360.7319	415.2115	405.5385	537.1154	437.4769	2696.4608	647.1058	447.9769	575.8992	0.0	1638.7988
ko00051	2228.197	1529.3352	607.4773	1090.6667	1431.9394	3257.9979	3568.4855	1845.4394	710.9924	1946.7106	2231.7424	1177.0579	1036.7473	1095.2848	851.7152	1022.1955	1437.6212	3682.7424	5930.3636	1847.6136	1473.1515	1830.3994	2011.7879	1583.733	2037.5636	1483.4145	2742.2209	1126.1485	2542.3636	4829.5997	6718.9542	1220.9212	1958.6485	2531.2509	1832.9848	2193.603	3183.5909	7818.7088	1501.5106	1543.4221	1772.13	1352.3103	1684.8791	1583.9394	2229.9091	1952.9942	1112.7576	1784.2664	1677.2273	1606.477	1856.7409	1436.5758	950.2267	1993.5985	1323.7879	1219.2121	1388.643	2417.6364	854.2652	1765.8121	2957.1742	3641.2818	1465.7424	1593.373	742.3712	961.2348	1055.7879	1738.8421	1500.1212	1281.0909	1743.8252	988.7697	721.4242	793.2076	664.4318	1015.0303	2545.1124	2340.2348	1394.3939	1781.3788	605.2955	1030.803	1954.2427	1350.4061	1267.7273	1583.6924	810.5206	1045.9091	987.2424	1526.8788	855.4242	1629.0	1102.2339	1252.15	1005.8894	915.1818	1266.6061	1566.1667	1831.7785	1814.2424	1066.9167	1595.95	3793.9542	4279.6267	1666.8485	2381.0606	4764.8839	2373.7091	1371.1473	1223.7045	1341.2636	2530.4273	1251.25	1516.0652	4604.2273	6600.7827	9019.7142	3484.6985	1559.7764	2847.0667	3490.6485	1051.0009	1206.7282	1069.8567	958.0227	1381.8788	1711.7736	1199.2064	1620.0106	2978.4282	1965.5206	2172.3258	530.857	3196.8788	917.7212	896.0379	2293.9167	906.2709	1119.8182	967.4424	975.4636	2528.5533	2154.9621	2036.9697	2597.2394	1351.9464	2878.9091	1924.6167	1431.943	1136.9906	1712.6182	1539.3636	1396.7761	1642.8182	744.5076	1248.303	1287.6667	1435.62	909.7803	823.3	1214.0606	1598.1661	862.9752	959.0894	5102.0788	948.9697	1849.6373	2056.6	1996.4936	3051.5488	1381.6048	4084.1027	3907.0215	1467.577	1165.4545	808.9679	4421.9018	1732.9924	1659.4545	1436.5242	2789.4752	1562.0379	651.9091	1518.6061	1305.4515	2514.7791	1323.2348	1221.2667	1624.0742	2414.4848	2057.693
ko00052	2618.531	2156.7466	612.25	1100.3966	1407.4138	4304.2266	4604.15	1794.569	795.3879	2063.709	2428.5621	1461.1479	1191.4024	1007.6807	856.7883	981.5376	2002.1034	3945.1638	7570.2655	2405.311	1068.2759	2511.4452	1451.3448	1945.4776	2539.821	1409.6641	3604.9297	1197.9	2235.2069	5267.1383	6771.1441	1206.6141	2611.3931	2924.6686	1770.1207	2631.2486	4308.4914	8655.8821	2076.5052	1542.44	2237.0617	1744.8566	2024.9148	1117.069	2524.8276	2679.6259	990.1034	2259.5445	1671.0172	1583.02	2218.5938	2013.8621	1189.6662	1921.6207	1831.1724	1347.5	1396.7445	0.0	1201.4741	2220.2138	2120.8017	4798.4259	1947.7241	2213.4017	728.0448	1006.431	1139.1379	2234.0841	2012.3862	1392.7207	2308.0824	923.4307	669.6552	697.0652	742.481	1039.9828	3152.1307	2424.7483	2150.0172	2346.0517	596.8638	888.819	2613.8417	1390.0897	1290.3103	2236.7652	673.2676	1145.5862	933.3621	2193.0	859.8103	2194.3966	1048.8014	1929.2924	897.0693	809.8103	1361.4138	1508.1121	1810.719	1605.0	968.8362	2278.8959	3963.76	4690.0486	1185.8276	3318.2069	5736.5186	3247.6179	1866.1383	1078.569	1273.9966	3084.3966	1292.7776	1280.5169	4660.1366	8157.509	8808.7072	4795.9586	2012.6203	2781.0414	3429.131	1088.7821	1505.1376	1437.0828	825.5862	2162.5672	1676.3338	1466.3155	1646.9314	3609.129	1836.3538	2921.4052	560.4531	4224.6897	932.5379	827.1552	1980.3276	1044.769	1048.4828	1001.4552	810.0121	3155.6934	1831.569	3253.9397	2468.2948	1301.1093	2548.0	2470.0655	1987.6631	1231.1138	2310.331	1680.1379	1762.1372	1666.2069	645.3534	1242.3448	1280.2069	2004.8693	830.819	809.1828	1251.9224	2203.0224	728.9141	911.3952	5209.4159	969.8103	1497.6441	2730.4276	2424.01	4004.0007	1985.171	5284.241	5018.1672	1910.8117	949.8793	735.3676	6228.2166	1739.5345	2240.3621	1662.9103	3745.4707	1117.7845	636.4483	1533.1466	1286.2741	3591.9555	1212.9828	1475.2207	1366.1366	2122.2069	2525.7993
ko00053	479.1222	347.8056	110.5417	276.5	640.5556	729.925	688.2222	631.9167	327.6528	628.1206	398.1611	209.4039	217.1667	230.6156	205.4011	322.185	623.2361	1210.8056	1275.8722	363.0344	0.0	406.8722	0.0	302.75	416.0739	439.5372	531.0833	194.75	27.3333	2547.5128	2804.205	283.8239	374.7722	489.8567	503.1806	379.0706	654.0	2654.6344	345.2333	468.3983	397.01	271.0044	453.7139	62.0	970.6667	439.6111	377.5	369.6211	329.9167	388.7672	449.4983	315.3889	195.7128	765.7917	636.1111	351.8889	704.0806	0.5556	288.1528	311.4778	4.8333	738.5294	294.9722	339.5556	88.125	345.9139	250.5278	401.2433	588.6111	395.7778	345.4267	313.1156	272.5	241.9072	151.2278	693.2222	552.1183	743.4306	631.8333	376.6667	203.4861	253.6667	399.9956	614.6278	550.0833	314.4822	225.9678	497.3333	355.3333	423.8333	285.8889	327.4722	297.7733	597.8611	218.1483	158.3333	647.3333	248.75	344.4861	5.7778	159.6806	381.6878	3010.2467	2143.2761	26.4444	546.9444	887.4478	560.7372	297.1017	321.7222	367.9167	517.4556	232.4667	503.1017	959.0339	1419.3122	1684.6622	762.7717	326.0433	1189.45	1412.0278	554.26	244.7206	236.0844	269.6806	675.2778	827.4822	254.6944	743.9817	600.1861	502.3428	1036.6528	330.115	585.0889	420.1111	285.3472	610.375	158.9778	301.75	447.7778	354.75	459.925	917.375	1057.9444	913.6389	591.2572	0.0	411.8444	589.25	337.3056	361.8111	817.75	582.5	705.0	240.375	550.5	586.8333	316.9483	157.7639	186.5556	564.7222	339.6667	308.0372	224.815	1496.7317	431.5	7.0933	448.4333	401.76	654.2322	339.1289	767.41	813.6889	266.7322	213.9167	286.2872	960.5472	366.0139	585.4444	469.8611	609.6294	67.8333	315.7222	329.5	503.9722	597.9067	288.0139	490.7222	311.1483	0.0	426.7983
ko00061	3569.7385	1558.9854	1021.0192	2163.6923	1293.8462	3925.3562	3846.5915	3522.2692	1664.3269	3983.5823	3047.7846	1952.77	1609.5946	1992.0292	1594.0015	2032.3715	3101.7885	7059.8654	9769.1692	2994.9362	685.4615	2563.2538	943.4615	3470.4377	3607.9623	3090.7208	3855.1777	1948.0692	812.0	10299.6862	18818.1277	2359.8077	2825.4154	3907.9038	3325.8269	3874.41	4378.3654	13410.4985	2232.6231	3779.49	2495.3492	1996.8646	2963.3123	957.2308	1097.7692	3039.7162	2593.8846	2078.9646	2811.1538	3077.33	3404.5746	1671.6154	1665.4215	3685.1731	2903.0769	2142.5769	1686.9831	682.6154	1931.0192	2189.5231	1425.1923	6199.1985	1855.0385	2261.4854	1198.6615	1864.7269	1939.2692	2577.9723	3941.2615	3338.9846	2298.8254	2532.3369	1397.4615	2142.6292	1116.2538	836.5385	3253.8931	4294.9154	3299.9615	2369.5385	1819.4115	2237.6923	2643.8277	1496.2615	1252.1538	1908.8731	1451.1246	2191.6923	2659.7115	2008.5385	2187.5192	2684.2692	3005.2523	3133.82	1751.3362	1806.6538	1663.0	2267.1538	2905.1492	548.6154	1467.5962	2282.7562	12710.4969	8454.3838	908.7692	3427.9231	8133.3454	3926.5008	1881.7292	1903.0	3030.7154	3733.8308	2685.1308	2951.5485	6790.8077	10635.4815	13460.0154	4870.2762	2705.0262	2379.3	2984.2385	1340.1285	1895.4408	1644.0192	1903.4423	3247.3577	1686.3208	1859.6008	1820.1823	4719.48	3756.7785	4806.5577	1873.6592	3704.4154	1321.1692	1978.1731	3905.25	1604.2685	2240.8846	1693.0308	2406.4769	3507.65	3704.9423	4861.9038	4905.1231	1343.1038	812.0	2798.8346	3362.8777	3076.0069	1936.5846	3314.7308	3062.7046	1707.4615	1644.8654	1163.9231	1236.3846	2005.9008	1312.0192	1717.3923	1370.8654	2062.1392	1893.9515	2056.1746	13572.5631	1216.2692	1005.8977	3131.0462	3022.0031	5211.4446	2230.9969	6077.7277	5638.6754	2072.1954	1859.6923	2099.8969	5431.0431	3079.0577	3584.1154	2688.0231	4805.7969	975.6538	1314.0	2628.8654	2541.3077	3222.3046	2419.8654	2664.6	3006.2708	697.4615	3316.0138
ko00071	703.5292	0.0	225.4583	413.0208	0.0	997.9717	1106.82	778.75	320.3229	1147.6371	694.8917	388.7592	335.8421	408.7358	305.9642	463.5692	636.7083	1666.5729	1848.025	0.0	0.0	605.4862	0.0	497.2575	0.0	786.1912	883.2079	549.7417	644.2083	4334.6208	6178.0008	506.1275	624.55	795.0346	713.6042	719.6538	0.0	3595.07	520.0729	815.8058	648.4071	0.0	620.3588	549.2917	0.0	0.0	500.9583	486.4071	628.1875	824.3888	613.3112	441.9167	270.5412	709.5938	621.375	770.4375	511.6788	0.0	309.7292	0.0	0.0	1181.7162	470.4167	0.0	253.9479	613.3271	381.5	615.3133	815.875	658.4792	536.2167	455.6212	215.8333	477.7254	222.1188	0.0	760.6983	913.2188	0.0	586.5833	316.5417	437.8646	631.6554	0.0	0.0	514.4308	310.4829	0.0	486.6354	464.1667	434.3646	539.9792	575.2292	512.715	363.2642	323.8125	0.0	543.4792	657.6742	431.5	388.5208	535.8346	9640.0729	3981.09	477.375	838.5	1651.3762	842.73	0.0	417.6562	700.1875	875.6292	525.7979	602.965	1512.0079	2022.2867	3057.3754	0.0	534.9071	0.0	0.0	0.0	427.2775	0.0	375.0104	0.0	0.0	0.0	0.0	1024.7129	752.7954	788.8125	550.4621	972.9417	548.0	0.0	853.1354	0.0	450.2292	294.7083	568.9271	796.5487	738.4688	0.0	1012.3021	551.6887	0.0	654.8125	615.7254	565.8513	508.2833	874.7917	549.8192	0.0	310.9583	0.0	0.0	0.0	284.3125	294.3542	0.0	525.7217	363.285	355.5246	2692.7621	711.125	0.0	655.0417	645.6779	1040.9996	476.7908	1276.7096	0.0	0.0	296.2188	429.0842	1389.0775	660.3438	1148.2292	0.0	971.4104	570.1562	472.4167	629.6354	482.0188	807.1554	530.7188	482.6667	527.7746	0.0	693.4212
ko00072	407.25	0.0	381.625	500.875	135.75	0.0	0.0	1122.625	525.8125	1755.5625	278.625	0.0	0.0	515.25	470.5	589.7	1430.0	2681.0625	0.0	0.0	0.0	0.0	2055.5	0.0	255.455	1174.1875	200.3325	1025.1	2447.0	7051.81	11224.6425	615.095	0.0	0.0	705.125	0.0	0.0	4810.585	0.0	975.5	0.0	0.0	561.125	1890.0	0.0	0.0	463.875	0.0	865.0	960.2075	0.0	0.0	139.9575	1220.1875	1435.75	1310.625	0.0	0.0	663.625	0.0	0.0	300.25	0.0	0.0	381.5375	1153.3125	545.0	0.0	2205.15	927.425	0.0	510.6875	304.25	666.05	0.0	0.0	0.0	1414.7125	1453.625	136.125	456.475	430.5625	0.0	313.125	139.125	0.0	293.4375	723.0	611.9375	0.0	580.5625	0.0	0.0	1301.665	424.875	255.875	1055.0	0.0	761.7925	1693.25	0.0	0.0	11802.855	6548.9525	1782.0	286.75	1761.7075	0.0	0.0	0.0	965.55	0.0	729.75	581.25	2250.4175	890.375	4526.8375	0.0	0.0	259.375	588.475	555.375	290.3325	0.0	417.6875	1378.275	534.75	203.4575	525.75	712.7925	983.0625	1787.875	1576.17	0.0	804.2	649.1875	1022.3125	0.0	598.25	362.4	785.95	0.0	780.8125	0.0	1101.2875	387.7275	0.0	0.0	1408.3525	702.005	0.0	1225.375	1095.79	314.25	0.0	0.0	0.0	0.0	0.0	305.225	0.0	103.9575	401.875	357.9625	3324.0625	888.25	1769.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	544.2675	0.0	900.8125	2459.375	1781.175	0.0	1887.875	1054.5	1062.6875	696.2375	65.75	638.6875	911.55	444.7125	0.0	197.6725
ko00100	0.0	0.0	0.0	0.0	0.0	0.2912	0.0	0.0	0.0	0.0	0.0	0.0838	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7088	0.0	0.0	0.0	0.0	93.0469	21.375	0.0	0.0	0.9588	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0838	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	384.5781	90.5625	0.0	0.0	0.125	0.0	1.0412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0625	0.0	0.0	0.0	0.0	3.875	3.6775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.8338	0.0	0.0	0.0	1.9162	0.0	2.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.2088
ko00120	325.1111	231.9444	14.0	0.5556	16.7778	604.1478	573.8889	13.1111	3.5556	1.1856	262.7778	173.4111	132.2633	10.1478	6.8522	2.7033	7.4444	73.3333	1095.1889	328.8589	303.6667	322.6333	434.0	262.0	381.1856	21.63	514.6667	31.6667	513.8889	418.1856	41.5556	0.1111	330.3778	424.0278	51.4444	326.12	522.2222	17.3333	306.0111	23.9633	416.7967	235.6522	210.8522	352.6667	424.8889	345.6667	19.1111	366.13	33.6667	0.0	268.67	237.6667	122.4444	33.5556	5.2222	0.7778	85.0178	492.2222	3.7778	281.2	682.0833	673.8333	234.3889	299.1667	12.5556	12.5778	0.7778	306.8078	38.6667	3.8889	292.0744	13.8144	19.6667	2.4811	99.3889	11.9444	393.8467	58.6667	1.4444	328.4444	17.2222	2.1111	332.0144	51.8889	22.7778	287.0744	8.2967	2.0	6.2222	270.3889	0.1111	247.0	10.8522	5.1111	6.4078	3.4444	69.7778	14.1111	29.1111	371.6667	7.7778	276.8078	1946.5778	359.4811	368.6667	461.3333	651.4989	452.8111	328.6111	10.3333	1.0	397.3444	144.6111	18.8144	118.1856	1076.4033	263.9633	636.1478	320.4411	16.1111	38.1111	74.63	195.8222	179.8811	6.8889	1.6667	53.9633	216.8333	57.0744	441.1389	28.9633	11.5556	73.6667	506.6	30.0	9.2222	24.1111	175.5556	10.1111	9.8889	3.7778	398.55	15.1111	0.8889	0.6667	48.3144	586.4444	300.4278	18.8889	3.4444	275.0667	104.6667	4.7778	17.2222	9.4444	17.2222	22.8889	258.8422	28.1111	1.8889	58.8889	297.8889	8.5189	2.5189	7.8522	3.8889	391.5189	418.7111	345.5189	539.4222	259.2033	895.0856	1056.1333	258.5189	27.0	3.5189	779.5744	41.4444	6.4444	0.3333	502.6111	348.4722	58.1111	34.4444	6.0	433.0367	11.3333	15.7778	3.9633	494.0	407.63
