assembly	Acetyl.CoA_assimilation	Aerobe	Biotin_prototroph	Carbon_fixation	Coenzyme_A_prototroph	Denitrifier	Dissimilatory_sulfate_reduction	Fructose_utilizing	Galactose_utilizing	Glucose_utilizing	Glycine_prototroph	L.alanine_prototroph	L.arabinose_utilizing	L.arginine_prototroph	L.asparagine_prototroph	L.aspartate_prototroph	L.cysteine_prototroph	L.glutamate_prototroph	L.glutamine_prototroph	L.histidine_prototroph	L.isoleucine_prototroph	L.leucine_prototroph	L.lysine_prototroph	L.methionine_synthesis_with_homocysteine_as_intermediate	L.methionine_synthesis_with_methanethiol	L.phenylalanine_prototroph	L.proline_prototroph	L.selenocysteine_synthesis	L.serine_prototroph	L.threonine_prototroph	L.tryptophan_prototroph	L.tyrosine_prototroph	L.valine_prototroph	Lactose_utilizing	Maltose_utilizing	Nitrogen_fixer	Sucrose_utilizing	Sulfur_reducer	Trehalose_utilizing	Use_of_nitrate_as_electron_acceptor	Xylose_utilizing
2503754044	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
2503754046	0	1	0	0	0	0	0	0	0	0	NA	1	0	0	1	1	NA	1	1	NA	1	1	1	0	0	0	1	0	0	NA	1	0	1	0	0	0	0	0	0	0	0
2503754048	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0
2503754051	0	1	0	0	NA	0	0	0	0	0	1	1	0	0	1	1	1	1	1	NA	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
2503904012	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	NA	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2503904014	1	1	0	0	NA	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
2503982002	0	0	NA	0	NA	0	0	0	0	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0
2503982020	0	1	0	0	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0
2503982034	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	1	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0
2503982035	0	1	0	0	0	0	0	0	0	0	1	1	0	0	NA	1	NA	1	NA	0	0	0	NA	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0	0	0
2503982036	0	0	0	0	0	0	0	0	0	0	NA	1	0	0	NA	1	NA	1	NA	0	0	0	NA	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0	0	0
2503982037	0	1	0	0	0	0	0	0	0	0	1	NA	0	0	NA	0	NA	1	NA	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0
2503982039	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	1	NA	NA	1	NA	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	1	0	0	0	0	0	0	0
2503982041	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	1	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0
2503982046	0	0	0	0	0	0	0	0	0	0	1	NA	0	0	1	0	NA	1	NA	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2503982047	0	1	0	0	0	0	0	0	0	0	NA	1	0	0	NA	1	NA	1	NA	0	0	0	NA	0	0	0	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2504136000	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	1	0	0	1	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2504136002	0	0	0	1	0	0	1	0	0	0	1	NA	0	0	NA	NA	0	0	1	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2504136006	0	0	0	0	0	0	0	0	0	0	NA	1	0	NA	NA	1	0	1	1	0	0	0	NA	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
